x,y
5.888110874607689,-26.744978789366712
5.761464813267146,-27.22864749124137
5.641447905983179,-27.714012314537417
5.528164347129568,-28.20098148437817
5.419897849452761,-28.68912646383838
5.315721820135575,-29.178144878715756
5.214831292692885,-29.667851768972184
5.118952327646288,-30.1585660320664
5.026237338340637,-30.649886872514188
4.938823352243077,-31.14217948947656
4.854332244804142,-31.634983393023475
4.7752709321775,-32.128687006855436
4.699046946375983,-32.622837494555796
4.62822934552942,-33.117795445988946
4.560564413364585,-33.61318576468993
4.498555788192485,-34.10932200604699
4.439308124630198,-34.605793633482605
4.385347936171712,-35.10286620632709
4.334310950171499,-35.60024951552964
4.28887759587964,-36.0981752058303
4.246204494811659,-36.59634704007476
4.209261082072268,-37.094975848209145
4.1751239535833795,-37.593804064121315
4.146689684385981,-38.092990887016754
4.1210496445175435,-38.59232683676653
4.100955954940696,-39.09191705150138
4.083855762850516,-39.591617986436724
4.072108186794938,-40.09147251149615
4.063552826595052,-40.59139244622621
4.060154583737096,-41.0913721278139
4.060246590163784,-41.5913627030679
4.064895772891067,-42.09133534256975
4.072947480998259,-42.591261535329245
4.084173164324746,-43.091133483153854
4.096472369280583,-43.59098378697064
4.108898422128901,-44.090829516264236
4.121232633002506,-44.590677360354945
4.133566843876112,-45.09052520444565
4.145901054749718,-45.59037304853635
4.158235265623324,-46.09022089262706
4.17056947649693,-46.590068736717754
4.182903687370535,-47.08991658080846
4.19523789824414,-47.589764424899165
4.207572109117747,-48.08961226898987
4.2199063199913525,-48.58946011308057
4.232240530864958,-49.08930795717128
4.244574741738563,-49.589155801261995
4.256908952612169,-50.0890036453527
4.269243163485774,-50.5888514894434
4.2815773743593795,-51.088699333534095
4.293911585232984,-51.588547177624804
4.306245796106591,-52.08839502171551
4.318580006980197,-52.588242865806215
4.330914217853802,-53.08809070989692
4.3432484287274065,-53.58793855398763
4.355582639601012,-54.08778639807833
4.367916850474618,-54.58763424216903
4.3802510613482255,-55.08748208625973
4.39258527222183,-55.587329930350435
4.404919483095435,-56.087177774441145
4.417253693969041,-56.587025618531854
4.429587904842647,-57.08687346262257
4.4419221157162525,-57.586721306713265
4.454256326589858,-58.08656915080397
4.466590537463464,-58.58641699489467
4.47892474833707,-59.08626483898537
4.491258959210675,-59.58611268307608
4.5035931700842795,-60.0859605271668
4.515927380957886,-60.5858083712575
4.528261591831492,-61.085656215348195
4.540595802705097,-61.585504059438904
4.552930013578703,-62.08535190352962
4.565264224452308,-62.58519974762032
4.577598435325912,-63.08504759171102
4.589932646199518,-63.584895435801734
4.602266857073125,-64.08474327989245
4.614601067946731,-64.58459112398315
4.626935278820337,-65.08443896807384
4.639269489693943,-65.58428681216455
4.651603700567549,-66.08413465625527
4.663937911441154,-66.58398250034598
4.67627212231476,-67.08383034443668
4.688606333188364,-67.58367818852739
4.70094054406197,-68.0835260326181
4.713274754935576,-68.58337387670879
4.725608965809181,-69.08322172079951
4.737943176682787,-69.58306956489022
4.750277387556394,-70.08291740898092
4.76261159843,-70.58276525307163
4.774945809303605,-71.08261309716232
4.78728002017721,-71.58246094125305
4.799984104158593,-72.09729801144056
4.811701859852562,-72.57216381203648
4.81996746654061,-72.90713016906237
